GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.zenwave360:json-schema-ref-parser-jvm,io.zenwave360.jsonrefparser.parser,CustomYAMLParser,5,18,1,1,2,4,2,2,1,2
io.zenwave360:json-schema-ref-parser-jvm,io.zenwave360.jsonrefparser.parser,ExtendedJsonContext,5,69,1,5,1,16,1,6,0,4
io.zenwave360:json-schema-ref-parser-jvm,io.zenwave360.jsonrefparser.parser,CustomYAMLFactory,57,17,0,0,5,2,3,2,3,2
io.zenwave360:json-schema-ref-parser-jvm,io.zenwave360.jsonrefparser.parser,JsonDeserializerWithLocations,5,138,3,21,1,30,3,15,0,6
io.zenwave360:json-schema-ref-parser-jvm,io.zenwave360.jsonrefparser.parser,CustomJacksonJsonProvider,54,150,14,14,4,24,14,11,3,8
io.zenwave360:json-schema-ref-parser-jvm,io.zenwave360.jsonrefparser.parser,Parser,16,150,3,5,4,32,4,7,1,6
io.zenwave360:json-schema-ref-parser-jvm,io.zenwave360.jsonrefparser,AuthenticationValue.AuthenticationType,0,15,0,0,0,3,0,1,0,1
io.zenwave360:json-schema-ref-parser-jvm,io.zenwave360.jsonrefparser,.Refs,110,302,25,19,25,50,25,27,8,22
io.zenwave360:json-schema-ref-parser-jvm,io.zenwave360.jsonrefparser,.RefParser,228,1403,26,100,36,239,25,74,4,32
io.zenwave360:json-schema-ref-parser-jvm,io.zenwave360.jsonrefparser,.RefParser.AllOfObject,0,46,1,3,0,10,1,3,0,2
io.zenwave360:json-schema-ref-parser-jvm,io.zenwave360.jsonrefparser,.RefParserOptions,12,19,0,0,3,8,1,3,1,3
io.zenwave360:json-schema-ref-parser-jvm,io.zenwave360.jsonrefparser,.RefParserOptions.OnCircular,0,21,0,0,0,4,0,1,0,1
io.zenwave360:json-schema-ref-parser-jvm,io.zenwave360.jsonrefparser,.Ref,54,268,25,41,10,61,23,21,2,9
io.zenwave360:json-schema-ref-parser-jvm,io.zenwave360.jsonrefparser,AuthenticationValue,88,94,3,1,22,28,10,12,8,12
io.zenwave360:json-schema-ref-parser-jvm,io.zenwave360.jsonrefparser,.RefParserOptions.OnMissing,0,15,0,0,0,3,0,1,0,1
io.zenwave360:json-schema-ref-parser-jvm,io.zenwave360.jsonrefparser.resolver,Resolver,14,2,2,0,4,1,2,1,1,1
io.zenwave360:json-schema-ref-parser-jvm,io.zenwave360.jsonrefparser.resolver,HttpResolver,50,342,7,29,18,73,7,18,0,7
io.zenwave360:json-schema-ref-parser-jvm,io.zenwave360.jsonrefparser.resolver,HttpResolver.new X509TrustManager() {...},1,9,0,0,1,3,1,3,1,3
io.zenwave360:json-schema-ref-parser-jvm,io.zenwave360.jsonrefparser.resolver,HttpResolver.new HostnameVerifier() {...},2,6,0,0,1,1,1,1,1,1
io.zenwave360:json-schema-ref-parser-jvm,io.zenwave360.jsonrefparser.resolver,HttpResolver.new HttpResolver.ConnectionConfigurator() {...},0,27,1,1,0,6,1,2,0,2
io.zenwave360:json-schema-ref-parser-jvm,io.zenwave360.jsonrefparser.resolver,HttpResolver.new HttpResolver.ConnectionConfigurator() {...},0,7,0,0,0,2,0,2,0,2
io.zenwave360:json-schema-ref-parser-jvm,io.zenwave360.jsonrefparser.resolver,Resolver.MissingResourceException,0,5,0,0,0,2,0,1,0,1
io.zenwave360:json-schema-ref-parser-jvm,io.zenwave360.jsonrefparser.resolver,RefFormat,18,58,7,9,5,11,4,7,0,3
io.zenwave360:json-schema-ref-parser-jvm,io.zenwave360.jsonrefparser.resolver,FileResolver,6,35,0,0,2,9,0,3,0,3
io.zenwave360:json-schema-ref-parser-jvm,io.zenwave360.jsonrefparser.resolver,ClasspathResolver,13,61,3,5,3,16,3,4,0,3
